row_id,reward_a,reward_b
0,-5.78125,-7.21875
1,-3.296875,-4.84375
2,-6.71875,-7.59375
3,-5.5625,-6.75
4,-3.515625,-3.6875
5,-3.734375,-4.375
6,-3.546875,-2.640625
7,-4.65625,-5.34375
8,-6.0,-5.46875
9,-2.3125,-1.6015625
10,-3.203125,-7.625
11,-1.625,-3.828125
12,-0.7578125,-3.828125
13,-2.484375,-2.328125
14,-3.53125,-4.34375
15,-2.1875,-2.015625
16,-2.671875,-3.578125
17,-2.421875,-1.4453125
18,-5.09375,-3.953125
19,-3.5625,-7.03125
20,-5.5,-7.875
21,-4.125,-6.125
22,-3.25,-4.4375
23,-4.65625,-4.9375
24,-3.78125,-3.640625
25,-5.59375,-4.625
26,-3.796875,-3.0
27,-5.4375,-6.90625
28,-3.703125,-3.375
29,-4.875,-6.75
30,-4.15625,-4.3125
31,-2.71875,-2.96875
32,-4.28125,-3.046875
33,-4.9375,-4.375
34,-3.984375,-5.21875
35,-0.56640625,0.240234375
36,-4.09375,-5.0
37,-4.4375,-5.25
38,-6.15625,-6.0625
39,-2.796875,-2.234375
40,-3.890625,-4.34375
41,-6.1875,-7.625
42,-7.125,-7.125
43,-4.375,-3.078125
44,-2.671875,-3.0
45,-3.546875,-3.9375
46,-3.609375,-6.6875
47,-3.8125,-6.65625
48,-5.9375,-6.53125
49,-2.6875,-2.78125
50,-6.21875,-7.84375
51,-3.4375,-2.453125
52,-5.71875,-6.53125
53,-5.75,-6.09375
54,-5.15625,-5.9375
55,-2.859375,-2.4375
56,-5.8125,-6.53125
57,-7.625,-7.6875
58,-3.890625,-3.265625
59,-3.015625,-4.125
60,-6.375,-8.25
61,-2.375,-2.15625
62,-3.84375,-3.921875
63,-1.6796875,-3.84375
64,-4.34375,-4.4375
65,-1.5859375,-4.09375
66,-4.75,-3.65625
67,-6.0625,-7.125
68,-3.921875,-3.875
69,-2.59375,-5.0
70,-4.625,-6.375
71,-4.6875,-5.5
72,-3.421875,-4.59375
73,-4.125,-6.1875
74,-6.53125,-6.65625
75,-1.6484375,-3.625
76,-2.25,-6.90625
77,-5.09375,-4.0
78,-6.15625,-7.5
79,-5.21875,-4.59375
80,-4.4375,-6.0
81,-6.9375,-7.6875
82,-3.96875,-4.03125
83,-4.65625,-6.21875
84,-4.34375,-3.390625
85,-1.7265625,-1.9453125
86,-2.59375,-4.375
87,-6.15625,-5.53125
88,-5.3125,-4.5625
89,-5.15625,-5.65625
90,-1.2265625,-1.390625
91,-4.0625,-3.0625
92,-7.625,-8.375
93,-3.84375,-2.28125
94,-7.0,-7.1875
95,-3.609375,-5.5625
96,-4.34375,-5.96875
97,-6.96875,-5.875
98,-2.9375,-2.765625
99,-6.78125,-7.3125
100,-1.7109375,-2.359375
101,-6.375,-7.5
102,-6.59375,-6.65625
103,-1.34375,-5.625
104,-3.25,-3.125
105,-0.8671875,-1.609375
106,-6.1875,-4.9375
107,-5.4375,-5.71875
108,-3.078125,-5.34375
109,-3.46875,-3.6875
110,-4.09375,-3.765625
111,-3.828125,-3.546875
112,-2.296875,-3.9375
113,-8.125,-8.1875
114,-4.5,-5.96875
115,-4.25,-3.78125
116,-3.375,-6.09375
117,-3.453125,-4.375
118,-5.34375,-7.53125
119,-3.09375,-2.53125
120,-5.0625,-6.46875
121,-6.46875,-7.4375
122,-2.421875,-1.625
123,-7.0625,-6.625
124,-5.21875,-6.25
125,-4.125,-3.625
126,-1.3203125,-4.625
127,-4.125,-3.96875
128,-2.421875,-5.15625
129,-1.515625,-3.328125
130,-2.171875,-1.4453125
131,-2.484375,-4.25
132,-6.65625,-5.8125
133,-3.25,-4.71875
134,-7.0625,-6.78125
135,-3.9375,-4.90625
