,row_id,reward_a,reward_b
0,0,-11.8125,-12.1875
1,1,-12.25,-11.75
2,2,-8.75,-10.0
3,3,-6.28125,-6.40625
4,4,-6.03125,-6.90625
5,5,-12.375,-12.5
6,6,-8.0,-6.59375
7,7,-10.3125,-10.0625
8,8,-10.625,-8.9375
9,9,-7.28125,-9.25
10,10,-5.40625,-3.78125
11,11,-5.4375,-7.09375
12,12,-12.125,-12.25
13,13,-5.28125,-8.625
14,14,-12.125,-11.8125
15,15,-11.0,-10.9375
16,16,-4.53125,-7.75
17,17,-6.40625,-8.375
18,18,-9.6875,-9.625
19,19,-11.0,-10.875
20,20,-8.375,-7.8125
21,21,-7.53125,-6.625
22,22,-7.5,-6.6875
23,23,-11.9375,-12.4375
24,24,-5.75,-9.625
25,25,-11.75,-11.75
26,26,-4.40625,-5.96875
27,27,-12.125,-11.4375
28,28,-6.4375,-8.4375
29,29,-12.1875,-11.75
30,30,-12.3125,-13.125
31,31,-5.5,-8.5
32,32,-4.75,-5.71875
33,33,-3.703125,-4.34375
34,34,-3.09375,-4.25
35,35,-7.3125,-7.15625
36,36,-12.5,-12.875
37,37,-9.8125,-9.5
38,38,-10.1875,-10.875
39,39,-10.75,-11.5
40,40,-5.78125,-6.3125
41,41,-10.75,-11.125
42,42,-5.28125,-6.875
43,43,-5.375,-5.03125
44,44,-12.5625,-12.25
45,45,-11.25,-11.375
46,46,-10.375,-10.625
47,47,-4.1875,-4.8125
48,48,-8.875,-10.375
49,49,-9.3125,-9.8125
50,50,-4.96875,-7.21875
51,51,-10.9375,-10.875
52,52,-3.828125,-9.4375
53,53,-9.75,-10.6875
54,54,-4.125,-5.8125
55,55,-8.3125,-10.3125
56,56,-12.125,-12.375
57,57,-10.625,-11.0
58,58,-6.8125,-6.96875
59,59,-8.5625,-8.625
60,60,-5.5625,-5.09375
61,61,-11.1875,-11.8125
62,62,-2.96875,-3.359375
63,63,-9.9375,-8.0625
64,64,-11.5,-11.9375
65,65,-6.03125,-6.8125
66,66,-6.0625,-5.71875
67,67,-8.5625,-10.5625
68,68,-7.96875,-10.75
69,69,-9.25,-10.375
70,70,-6.9375,-11.1875
71,71,-5.78125,-9.8125
72,72,-10.4375,-10.625
73,73,-6.09375,-6.6875
74,74,-6.6875,-6.96875
75,75,-10.6875,-12.8125
76,76,-10.0,-9.625
77,77,-5.53125,-10.3125
78,78,-9.0625,-10.875
79,79,-6.28125,-6.75
80,80,-6.15625,-6.09375
81,81,-10.125,-10.5625
82,82,-8.25,-8.75
83,83,-8.5625,-11.75
