row_id,reward_a,reward_b
0,-12.4375,-13.0
1,-5.78125,-5.875
2,-6.4375,-4.6875
3,-6.4375,-7.71875
4,-11.9375,-11.625
5,-10.9375,-10.9375
6,-5.0625,-5.59375
7,-6.375,-11.375
8,-3.828125,-3.484375
9,-12.25,-11.5625
10,-4.28125,-4.46875
11,-5.875,-4.78125
12,-11.5,-10.5625
13,-4.15625,-5.9375
14,-7.0,-10.75
15,-12.0,-11.6875
16,-9.125,-11.5
17,-6.84375,-6.78125
18,-4.03125,-5.65625
19,-11.625,-10.75
20,-12.1875,-12.5625
21,-5.65625,-5.34375
22,-11.75,-11.625
23,-8.25,-9.6875
24,-8.1875,-10.875
25,-3.484375,-4.5
26,-6.5,-7.125
27,-5.09375,-6.0625
28,-10.1875,-10.375
29,-8.6875,-7.75
30,-11.5,-11.5
31,-6.21875,-8.0625
32,-10.6875,-11.5625
33,-8.4375,-9.4375
34,-6.4375,-5.1875
35,-11.0625,-11.9375
36,-3.28125,-8.125
37,-6.78125,-12.1875
38,-12.0,-11.25
39,-6.0625,-4.53125
40,-7.0,-7.3125
41,-3.84375,-8.0
42,-10.8125,-11.125
43,-7.53125,-9.625
44,-4.1875,-3.734375
45,-6.15625,-8.4375
46,-10.8125,-10.6875
47,-11.5625,-12.6875
48,-11.25,-10.8125
49,-7.46875,-7.34375
50,-10.875,-11.4375
51,-5.75,-5.875
52,-6.71875,-6.71875
53,-9.0,-9.8125
54,-7.09375,-6.90625
55,-10.875,-11.4375
56,-8.9375,-9.0
57,-11.875,-10.4375
58,-5.34375,-6.53125
59,-4.34375,-6.15625
60,-6.46875,-7.875
61,-4.03125,-6.5
62,-10.6875,-10.9375
63,-7.28125,-7.03125
64,-8.6875,-9.5625
65,-10.5625,-12.0
66,-5.84375,-6.25
67,-11.9375,-11.8125
68,-10.6875,-11.375
69,-5.3125,-6.15625
70,-5.21875,-8.1875
71,-4.8125,-5.4375
72,-10.875,-11.25
73,-6.28125,-7.21875
74,-5.6875,-5.53125
75,-9.1875,-10.3125
76,-4.78125,-4.3125
77,-4.1875,-5.3125
78,-10.0,-10.6875
79,-5.25,-5.5625
80,-11.4375,-11.625
81,-10.9375,-9.1875
82,-5.4375,-5.8125
83,-4.5625,-7.125
84,-9.4375,-9.5625
85,-9.0625,-8.25
86,-6.96875,-8.25
87,-5.9375,-6.78125
88,-5.53125,-5.0625
89,-3.71875,-3.640625
90,-9.5625,-10.125
91,-4.34375,-5.78125
92,-8.5625,-8.875
93,-3.421875,-4.4375
94,-11.5,-10.6875
95,-11.875,-11.8125
96,-5.9375,-7.28125
97,-4.125,-5.6875
98,-11.5625,-11.875
99,-4.125,-5.09375
100,-10.9375,-11.1875
101,-5.84375,-6.46875
102,-5.75,-5.46875
103,-5.0,-5.0
104,-4.59375,-6.34375
105,-11.125,-11.125
106,-8.8125,-7.71875
107,-2.65625,-3.578125
108,-5.1875,-8.375
109,-3.859375,-4.46875
110,-8.625,-5.5
111,-6.84375,-8.4375
112,-10.9375,-11.1875
113,-10.0625,-10.3125
114,-3.96875,-3.609375
115,-8.75,-11.4375
116,-4.03125,-4.3125
117,-11.75,-11.25
118,-4.9375,-5.75
119,-2.8125,-5.125
120,-6.625,-5.3125
121,-4.625,-5.75
122,-10.0,-9.3125
123,-5.21875,-5.4375
124,-9.3125,-9.5625
125,-3.3125,-3.09375
126,-8.8125,-7.0
127,-11.0,-9.1875
128,-7.65625,-11.25
129,-7.71875,-12.4375
130,-7.96875,-12.75
131,-4.34375,-5.25
132,-6.1875,-6.75
133,-6.46875,-6.5625
134,-6.65625,-10.0625
135,-5.75,-4.8125
136,-11.8125,-12.0
137,-7.96875,-10.625
138,-9.6875,-11.3125
139,-10.6875,-10.8125
140,-9.3125,-11.0
141,-12.0,-12.125
142,-7.4375,-10.4375
143,-10.4375,-10.125
144,-11.0,-11.9375
145,-9.0625,-9.625
146,-11.375,-12.1875
147,-4.84375,-3.140625
148,-3.703125,-5.78125
149,-11.9375,-11.9375
150,-10.5625,-11.25
151,-8.5625,-9.6875
152,-4.5625,-5.46875
153,-9.4375,-9.375
154,-11.3125,-10.6875
155,-11.9375,-9.25
156,-4.28125,-4.5
157,-12.1875,-12.0625
158,-6.375,-6.625
159,-10.375,-10.75
160,-10.125,-9.6875
161,-10.75,-11.625
162,-5.90625,-6.90625
163,-4.9375,-3.953125
164,-10.25,-11.4375
165,-6.21875,-6.75
166,-8.8125,-9.375
167,-5.53125,-4.84375
168,-12.3125,-11.25
169,-5.25,-6.125
170,-11.4375,-11.25
171,-9.375,-9.1875
172,-6.3125,-6.0
173,-3.734375,-3.1875
174,-10.9375,-10.25
175,-9.5,-12.4375
176,-11.0,-11.375
177,-8.375,-6.875
178,-4.125,-4.0625
179,-6.875,-11.1875
180,-10.3125,-10.625
181,-10.5,-10.0625
182,-10.5625,-12.1875
183,-5.625,-5.0
184,-4.09375,-6.375
185,-7.84375,-4.25
186,-5.25,-5.59375
187,-12.75,-11.6875
188,-6.34375,-5.5
189,-9.5,-8.875
190,-9.8125,-9.625
191,-11.5625,-11.3125
192,-5.28125,-5.0
193,-5.5625,-7.28125
